filename,instrumentation(s),rtc_bad(s),rtc_good(s),ft_bad(s),ft_good(s),afl_input_bad(ms),afl_input_good(ms),cat_bad(ms),cat_good(ms)
cwe,filename,instrumentation(s),rtc_bad(s),rtc_good(s),ft_bad(s),ft_good(s),afl_input_bad(ms),afl_input_good(ms),cat_bad(ms),cat_good(ms)
CWE191,CWE191_Integer_Underflow__short_fscanf_sub_02.c,1.2433,0.0016,0.0014,20.0130,20.0139,2262,1598,44,11
CWE191,CWE191_Integer_Underflow__short_fscanf_sub_05.c,1.3088,0.0013,0.0013,20.0128,20.0133,1993,1898,43,4
CWE191,CWE191_Integer_Underflow__short_fscanf_sub_12.c,1.2522,0.0014,0.0013,20.0132,20.0126,2131,2100,45,6
CWE191,CWE191_Integer_Underflow__short_fscanf_sub_17.c,1.2241,0.0014,0.0013,20.0130,20.0132,2227,2135,48,7
CWE191,CWE191_Integer_Underflow__short_fscanf_sub_06.c,1.2777,0.0016,0.0013,20.0130,20.0126,2109,2253,46,8
CWE191,CWE191_Integer_Underflow__short_fscanf_sub_51b.c,1.2610,0.0016,0.0013,20.0129,20.0126,2044,2115,43,10
CWE191,CWE191_Integer_Underflow__short_fscanf_sub_53d.c,1.2266,0.0014,0.0014,20.0125,20.0131,2301,2065,53,6
CWE191,CWE191_Integer_Underflow__short_fscanf_sub_16.c,1.2406,0.0013,0.0014,20.0137,20.0126,2031,2062,45,5
CWE191,CWE191_Integer_Underflow__short_fscanf_sub_53a.c,1.2731,0.0013,0.0013,20.0125,20.0130,2271,2087,46,5
CWE191,CWE191_Integer_Underflow__short_fscanf_sub_54a.c,1.2627,0.0013,0.0014,20.0125,20.0128,2033,2263,43,9
CWE191,CWE191_Integer_Underflow__short_fscanf_sub_52a.c,1.2871,0.0013,0.0014,20.0123,20.0130,2044,2137,45,21
CWE191,CWE191_Integer_Underflow__short_fscanf_sub_51a.c,1.2696,0.0015,0.0015,20.0127,20.0126,2127,2065,44,11
CWE191,CWE191_Integer_Underflow__short_fscanf_sub_63b.c,1.1676,0.0013,0.0016,20.0130,20.0128,2368,2380,46,5
CWE191,CWE191_Integer_Underflow__short_fscanf_sub_63a.c,1.2262,0.0014,0.0018,20.0140,20.0132,2333,2007,44,13
CWE191,CWE191_Integer_Underflow__short_fscanf_sub_64a.c,1.2104,0.0013,0.0015,20.0133,20.0145,2628,2194,44,14
CWE191,CWE191_Integer_Underflow__short_fscanf_sub_64b.c,1.2184,0.0013,0.0014,20.0138,20.0134,2395,2317,46,19
CWE191,CWE191_Integer_Underflow__short_fscanf_sub_65b.c,1.1901,0.0014,0.0022,20.0138,20.0138,2792,2348,51,22
CWE191,CWE191_Integer_Underflow__short_fscanf_sub_66b.c,1.2362,0.0013,0.0019,20.0140,20.0144,2454,2131,43,15
CWE191,CWE191_Integer_Underflow__short_fscanf_sub_66a.c,1.2064,0.0014,0.0016,20.0139,20.0139,2398,2357,45,8
CWE191,CWE191_Integer_Underflow__short_fscanf_sub_67a.c,1.2326,0.0014,0.0015,20.0146,20.0148,2513,2334,48,16
CWE191,CWE191_Integer_Underflow__short_fscanf_sub_67b.c,1.1845,0.0015,0.0018,20.0141,20.0139,2427,2450,43,18
CWE191,CWE191_Integer_Underflow__unsigned_int_fscanf_sub_01.c,1.2026,0.0014,0.0016,20.0129,20.0151,1692,1815,33,4
CWE191,CWE191_Integer_Underflow__unsigned_int_fscanf_sub_08.c,1.2796,0.0013,0.0016,20.0130,20.0127,1510,1241,33,5
CWE191,CWE191_Integer_Underflow__unsigned_int_fscanf_sub_15.c,1.2259,0.0013,0.0014,20.0123,20.0133,1585,1370,44,9
CWE191,CWE191_Integer_Underflow__unsigned_int_fscanf_sub_34.c,1.2416,0.0013,0.0014,20.0132,20.0133,1484,1239,33,5
CWE191,CWE191_Integer_Underflow__unsigned_int_fscanf_sub_51b.c,1.2164,0.0013,0.0014,20.0126,20.0176,1510,1185,35,4
CWE191,CWE191_Integer_Underflow__unsigned_int_fscanf_sub_18.c,1.2496,0.0013,0.0014,20.0126,20.0135,1465,1247,33,4
CWE191,CWE191_Integer_Underflow__unsigned_int_fscanf_sub_53d.c,1.2436,0.0013,0.0016,20.0128,20.0133,1623,1305,34,4
CWE191,CWE191_Integer_Underflow__unsigned_int_fscanf_sub_03.c,1.2319,0.0013,0.0013,20.0132,20.0134,1479,1284,32,5
CWE191,CWE191_Integer_Underflow__unsigned_int_fscanf_sub_17.c,1.2678,0.0013,0.0018,20.0130,20.0133,1484,1333,35,5
CWE191,CWE191_Integer_Underflow__unsigned_int_fscanf_sub_10.c,1.2545,0.0019,0.0015,20.0129,20.0135,1352,1333,32,5
CWE191,CWE191_Integer_Underflow__unsigned_int_fscanf_sub_12.c,1.2403,0.0015,0.0016,20.0135,20.0132,1574,1282,34,4
CWE191,CWE191_Integer_Underflow__unsigned_int_fscanf_sub_05.c,1.3133,0.0014,0.0014,20.0119,20.0126,1615,1291,33,4
CWE191,CWE191_Integer_Underflow__unsigned_int_fscanf_sub_11.c,1.2540,0.0013,0.0018,20.0124,20.0138,1413,1287,34,6
CWE191,CWE191_Integer_Underflow__unsigned_int_fscanf_sub_14.c,1.2409,0.0013,0.0017,20.0128,20.0135,1451,1334,32,5
CWE191,CWE191_Integer_Underflow__unsigned_int_fscanf_sub_02.c,1.2351,0.0015,0.0019,20.0122,20.0146,1468,1266,35,3
CWE191,CWE191_Integer_Underflow__unsigned_int_fscanf_sub_32.c,1.2495,0.0014,0.0015,20.0133,20.0143,1407,1317,33,6
CWE191,CWE191_Integer_Underflow__unsigned_int_fscanf_sub_52c.c,1.2305,0.0013,0.0014,20.0129,20.0134,1543,1227,32,5
CWE191,CWE191_Integer_Underflow__unsigned_int_fscanf_sub_04.c,1.2663,0.0020,0.0015,20.0130,20.0131,1402,1311,33,4
CWE191,CWE191_Integer_Underflow__unsigned_int_fscanf_sub_07.c,1.2248,0.0014,0.0016,20.0134,20.0185,1423,1311,35,5
CWE191,CWE191_Integer_Underflow__unsigned_int_fscanf_sub_42.c,1.2430,0.0013,0.0014,20.0128,20.0132,1479,1269,33,6
CWE191,CWE191_Integer_Underflow__unsigned_int_fscanf_sub_31.c,1.2510,0.0013,0.0019,20.0131,20.0122,1522,1315,34,6
CWE191,CWE191_Integer_Underflow__unsigned_int_fscanf_sub_54e.c,1.2557,0.0017,0.0014,20.0135,20.0139,1541,1265,35,4
CWE191,CWE191_Integer_Underflow__unsigned_int_fscanf_sub_13.c,1.2917,0.0013,0.0014,20.0131,20.0129,1447,1317,33,4
CWE191,CWE191_Integer_Underflow__unsigned_int_fscanf_sub_09.c,1.2575,0.0013,0.0018,20.0124,20.0121,1492,1236,33,4
CWE191,CWE191_Integer_Underflow__unsigned_int_fscanf_sub_06.c,1.2572,0.0015,0.0014,20.0128,20.0134,1459,1247,33,4
CWE191,CWE191_Integer_Underflow__unsigned_int_fscanf_sub_22b.c,1.2707,0.0016,0.0014,20.0126,20.0143,1491,1267,34,5
CWE191,CWE191_Integer_Underflow__unsigned_int_fscanf_sub_16.c,1.2864,0.0013,0.0018,20.0123,20.0147,1409,1320,32,4
CWE191,CWE191_Integer_Underflow__unsigned_int_fscanf_sub_51a.c,1.3113,0.0015,0.0015,20.0129,20.0126,1647,1462,34,5
CWE191,CWE191_Integer_Underflow__unsigned_int_fscanf_sub_54a.c,1.2067,0.0014,0.0020,20.0140,20.0141,1534,1356,32,4
CWE191,CWE191_Integer_Underflow__unsigned_int_fscanf_sub_22a.c,1.2482,0.0015,0.0016,20.0126,20.0135,1647,1390,32,3
CWE191,CWE191_Integer_Underflow__unsigned_int_fscanf_sub_53a.c,1.2559,0.0015,0.0019,20.0127,20.0137,1543,1494,40,4
CWE191,CWE191_Integer_Underflow__unsigned_int_fscanf_sub_41.c,1.2363,0.0014,0.0016,20.0134,20.0138,1551,1485,32,5
CWE191,CWE191_Integer_Underflow__unsigned_int_fscanf_sub_21.c,1.2343,0.0013,0.0017,20.0143,20.0137,1834,1509,31,4
CWE191,CWE191_Integer_Underflow__unsigned_int_fscanf_sub_52a.c,1.2081,0.0014,0.0017,20.0130,20.0135,1989,1515,37,8
CWE191,CWE191_Integer_Underflow__unsigned_int_fscanf_sub_63b.c,1.2210,0.0014,0.0014,20.0128,20.0128,1844,1420,46,4
CWE191,CWE191_Integer_Underflow__unsigned_int_fscanf_sub_63a.c,1.2135,0.0016,0.0017,20.0135,20.0135,1800,1462,45,4
CWE191,CWE191_Integer_Underflow__unsigned_int_fscanf_sub_64a.c,1.2219,0.0014,0.0020,20.0125,20.0144,1786,1441,32,5
CWE191,CWE191_Integer_Underflow__unsigned_int_fscanf_sub_64b.c,1.2436,0.0014,0.0015,20.0136,20.0144,1746,1388,33,4
CWE191,CWE191_Integer_Underflow__unsigned_int_fscanf_sub_65b.c,1.1909,0.0017,0.0020,20.0124,20.0153,1702,1516,36,4
CWE191,CWE191_Integer_Underflow__unsigned_int_fscanf_sub_66b.c,1.2066,0.0013,0.0015,20.0133,20.0127,1733,1449,32,4
CWE191,CWE191_Integer_Underflow__unsigned_int_fscanf_sub_66a.c,1.1984,0.0017,0.0016,20.0132,20.0195,1841,1597,33,5
CWE191,CWE191_Integer_Underflow__unsigned_int_fscanf_sub_67b.c,1.2389,0.0014,0.0015,20.0134,20.0139,1692,1462,32,5
CWE191,CWE191_Integer_Underflow__unsigned_int_fscanf_sub_67a.c,1.2253,0.0014,0.0016,20.0129,20.0143,1780,1391,34,5
CWE191_Integer_Underflow__int64_t_fscanf_multiply_02.c,1.2791,0.0015,0.0034,20.0140,20.0156,4267,4478,87,20
CWE121_Stack_Based_Buffer_Overflow__CWE129_fgets_01.c,1.2453,0.0013,0.0013,20.0150,20.0156,1440,1127,35,2
CWE121_Stack_Based_Buffer_Overflow__CWE129_fgets_02.c,1.3140,0.0013,0.0015,20.0148,20.0153,1609,1073,42,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_fgets_03.c,1.2936,0.0015,0.0013,20.0150,20.0152,1429,1000,32,2
CWE121_Stack_Based_Buffer_Overflow__CWE129_fgets_04.c,1.2833,0.0013,0.0013,20.0158,20.0151,1640,1226,37,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_fgets_05.c,1.3243,0.0013,0.0015,20.0155,20.0153,1417,1044,32,2
CWE121_Stack_Based_Buffer_Overflow__CWE129_fgets_06.c,1.3240,0.0014,0.0016,20.0151,20.0151,1515,1003,34,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_fgets_07.c,1.3027,0.0013,0.0015,20.0149,20.0162,1542,873,33,2
CWE121_Stack_Based_Buffer_Overflow__CWE129_fgets_08.c,1.2639,0.0014,0.0014,20.0157,20.0164,1472,965,40,3
CWE121_Stack_Based_Buffer_Overflow__CWE129_fgets_09.c,1.2668,0.0013,0.0018,20.0155,20.0151,1434,1117,34,2
CWE121_Stack_Based_Buffer_Overflow__CWE129_fgets_10.c,1.2907,0.0014,0.0014,20.0202,20.0158,1457,1052,33,3
CWE121_Stack_Based_Buffer_Overflow__CWE129_fgets_11.c,1.2659,0.0013,0.0015,20.0152,20.0166,1516,1049,33,2
CWE121_Stack_Based_Buffer_Overflow__CWE129_fgets_12.c,1.4193,0.0013,0.0016,20.0148,20.0161,1532,1127,34,2
CWE121_Stack_Based_Buffer_Overflow__CWE129_fgets_13.c,1.3003,0.0013,0.0016,20.0157,20.0161,1272,1057,32,2
CWE121_Stack_Based_Buffer_Overflow__CWE129_fgets_14.c,1.2688,0.0014,0.0020,20.0148,20.0162,1393,1049,34,3
CWE121_Stack_Based_Buffer_Overflow__CWE129_fgets_15.c,1.3549,0.0013,0.0013,20.0157,20.0163,1456,1183,31,2
CWE121_Stack_Based_Buffer_Overflow__CWE129_fgets_16.c,1.2861,0.0013,0.0013,20.0161,20.0159,1636,1079,35,2
CWE121_Stack_Based_Buffer_Overflow__CWE129_fgets_17.c,1.2486,0.0013,0.0014,20.0152,20.0226,1242,1046,33,2
CWE121_Stack_Based_Buffer_Overflow__CWE129_fgets_18.c,1.3030,0.0013,0.0013,20.0151,20.0160,1811,1011,37,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_fgets_21.c,1.3332,0.0014,0.0014,20.0151,20.0157,1543,1099,31,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_fgets_31.c,1.2487,0.0013,0.0014,20.0150,20.0164,1489,1155,33,2
CWE121_Stack_Based_Buffer_Overflow__CWE129_fgets_32.c,1.2543,0.0014,0.0013,20.0151,20.0158,1430,1041,34,2
CWE121_Stack_Based_Buffer_Overflow__CWE129_fgets_41.c,1.2996,0.0014,0.0017,20.0149,20.0154,1493,1127,33,2
CWE121_Stack_Based_Buffer_Overflow__CWE129_fgets_42.c,1.2680,0.0013,0.0013,20.0149,20.0154,1605,1034,33,3
CWE121_Stack_Based_Buffer_Overflow__CWE129_fgets_44.c,1.3018,0.0013,0.0013,20.0149,20.0154,1421,1105,31,2
CWE121_Stack_Based_Buffer_Overflow__CWE129_fgets_45.c,1.2627,0.0014,0.0015,20.0151,20.0153,1481,1160,33,2
CWE121_Stack_Based_Buffer_Overflow__CWE129_fgets_22a.c,1.3467,0.0014,0.0015,20.0158,20.0155,1849,1120,38,2
CWE121_Stack_Based_Buffer_Overflow__CWE129_fgets_22b.c,1.3106,0.0015,0.0016,20.0150,20.0168,1580,1056,36,2
CWE121_Stack_Based_Buffer_Overflow__CWE129_fgets_51a.c,1.4464,0.0015,0.0015,20.0162,20.0167,1683,1182,34,2
CWE121_Stack_Based_Buffer_Overflow__CWE129_fgets_51b.c,1.3180,0.0014,0.0014,20.0152,20.0165,1891,1065,36,2
CWE121_Stack_Based_Buffer_Overflow__CWE129_fgets_52a.c,1.3870,0.0015,0.0013,20.0156,20.0166,1627,1087,34,2
CWE121_Stack_Based_Buffer_Overflow__CWE129_fgets_52c.c,1.3695,0.0014,0.0014,20.0162,20.0166,1615,1154,33,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_fgets_53a.c,1.5371,0.0014,0.0014,20.0163,20.0167,1402,1239,44,2
CWE121_Stack_Based_Buffer_Overflow__CWE129_fgets_53d.c,1.4563,0.0013,0.0018,20.0160,20.0159,1612,1171,39,2
CWE121_Stack_Based_Buffer_Overflow__CWE129_fgets_54a.c,1.3380,0.0019,0.0014,20.0158,20.0165,1926,1139,48,2
CWE121_Stack_Based_Buffer_Overflow__CWE129_fgets_54e.c,1.3405,0.0014,0.0017,20.0168,20.0164,1640,1160,35,2
CWE121_Stack_Based_Buffer_Overflow__CWE129_fgets_61b.c,4.7056,0.0022,0.0040,20.0142,20.0139,1190,1118,30,2
CWE121_Stack_Based_Buffer_Overflow__CWE129_fgets_63a.c,1.3587,0.0015,0.0014,20.0150,20.0146,1689,1136,35,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_fgets_63b.c,1.2860,0.0014,0.0013,20.0131,20.0142,1522,1026,34,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_fgets_64a.c,1.2651,0.0014,0.0013,20.0131,20.0147,1631,1068,32,2
CWE121_Stack_Based_Buffer_Overflow__CWE129_fgets_64b.c,1.2860,0.0014,0.0013,20.0138,20.0142,1628,1141,32,2
CWE121_Stack_Based_Buffer_Overflow__CWE129_fgets_65a.c,1.2743,0.0013,0.0013,20.0138,20.0134,1530,1108,33,2
CWE121_Stack_Based_Buffer_Overflow__CWE129_fgets_65b.c,1.2843,0.0013,0.0014,20.0137,20.0143,1748,1093,37,14
CWE121_Stack_Based_Buffer_Overflow__CWE129_fgets_66a.c,1.2895,0.0013,0.0013,20.0139,20.0139,1855,1113,36,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_fgets_66b.c,1.3136,0.0013,0.0013,20.0124,20.0133,1134,1037,29,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_fgets_67a.c,1.3245,0.0015,0.0014,20.0143,20.0139,1570,1109,32,2
CWE121_Stack_Based_Buffer_Overflow__CWE129_fgets_67b.c,1.2796,0.0015,0.0014,20.0140,20.0143,1484,1134,31,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_fscanf_01.c,1.2793,0.0014,0.0261,20.0134,20.0134,909,377,31,2
CWE121_Stack_Based_Buffer_Overflow__CWE129_fscanf_02.c,1.7198,0.0014,0.0015,20.0130,20.0142,1554,848,35,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_fscanf_03.c,1.2669,0.0014,0.0293,20.0129,20.0138,1415,880,36,2
CWE121_Stack_Based_Buffer_Overflow__CWE129_fscanf_04.c,1.2983,0.0014,0.0016,20.0137,20.0142,1266,933,30,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_fscanf_05.c,1.2586,0.0014,0.0015,20.0138,20.0136,1669,846,33,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_fscanf_06.c,1.2663,0.0014,0.0014,20.0125,20.0129,1306,839,31,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_fscanf_07.c,1.2712,0.0015,0.0015,20.0139,20.0138,1291,948,31,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_fscanf_08.c,1.2500,0.0014,0.0015,20.0149,20.0139,1330,902,35,2
CWE121_Stack_Based_Buffer_Overflow__CWE129_fscanf_09.c,1.2586,0.0014,0.0017,20.0140,20.0140,1185,878,29,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_fscanf_10.c,1.3183,0.0013,0.0014,20.0139,20.0146,1284,870,31,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_fscanf_11.c,1.2787,0.0015,0.0017,20.0138,20.0156,1235,820,30,2
CWE121_Stack_Based_Buffer_Overflow__CWE129_fscanf_12.c,1.3363,0.0015,0.0015,20.0140,20.0146,1691,630,43,2
CWE121_Stack_Based_Buffer_Overflow__CWE129_fscanf_13.c,1.3677,0.0015,0.0015,20.0148,20.0143,1673,916,31,2
CWE121_Stack_Based_Buffer_Overflow__CWE129_fscanf_14.c,1.3115,0.0014,0.0018,20.0195,20.0181,1677,949,39,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_fscanf_15.c,1.3148,0.0014,0.0015,20.0139,20.0146,1414,963,31,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_fscanf_16.c,1.3594,0.0015,0.0014,20.0146,20.0138,1335,1018,32,2
CWE121_Stack_Based_Buffer_Overflow__CWE129_fscanf_17.c,1.3418,0.0015,0.0016,20.0145,20.0138,1319,966,30,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_fscanf_18.c,1.3304,0.0014,0.0015,20.0154,20.0139,1557,904,32,2
CWE121_Stack_Based_Buffer_Overflow__CWE129_fscanf_21.c,1.3960,0.0014,0.0017,20.0139,20.0133,1979,472,37,2
CWE121_Stack_Based_Buffer_Overflow__CWE129_fscanf_22b.c,1.3744,0.0016,0.0019,20.0130,20.0174,783,592,31,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_fscanf_31.c,1.3617,0.0016,0.0133,20.0140,20.0138,3612,470,34,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_fscanf_32.c,1.3420,0.0013,0.0272,20.0152,20.0138,3820,3433,31,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_fscanf_34.c,1.3195,0.0015,0.0016,20.0135,20.0134,1043,307,43,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_fscanf_41.c,1.3580,0.0015,0.0016,20.0142,20.0139,990,275,31,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_fscanf_42.c,1.3031,0.0016,0.0015,20.0161,20.0139,975,253,33,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_fscanf_44.c,1.2858,0.0014,0.0023,20.0145,20.0141,1304,1240,31,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_fscanf_45.c,1.2804,0.0014,0.0015,20.0142,20.0150,1838,933,32,2
CWE121_Stack_Based_Buffer_Overflow__CWE129_fscanf_51a.c,1.2950,0.0016,0.0015,20.0135,20.0135,1771,1028,35,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_fscanf_51b.c,1.2777,0.0015,0.0016,20.0140,20.0142,1355,930,31,2
CWE121_Stack_Based_Buffer_Overflow__CWE129_fscanf_52a.c,1.3180,0.0014,0.0015,20.0129,20.0149,1337,911,31,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_fscanf_52c.c,1.2665,0.0014,0.0014,20.0136,20.0145,1350,1061,31,2
CWE121_Stack_Based_Buffer_Overflow__CWE129_fscanf_53a.c,1.2858,0.0013,0.0016,20.0139,20.0151,1321,1007,32,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_fscanf_53d.c,1.3085,0.0014,0.0016,20.0139,20.0145,1324,1030,31,2
CWE121_Stack_Based_Buffer_Overflow__CWE129_fscanf_54a.c,1.3038,0.0014,0.0014,20.0139,20.0142,1235,915,30,2
CWE121_Stack_Based_Buffer_Overflow__CWE129_fscanf_54e.c,1.2581,0.0014,0.0014,20.0136,20.0139,1460,991,30,2
CWE121_Stack_Based_Buffer_Overflow__CWE129_fscanf_63a.c,1.3414,0.0014,0.0016,20.0144,20.0155,1182,988,31,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_fscanf_63b.c,1.2779,0.0016,0.0014,20.0148,20.0148,1357,979,30,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_fscanf_64a.c,1.2874,0.0014,0.0015,20.0141,20.0146,1388,880,31,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_fscanf_64b.c,1.2570,0.0016,0.0014,20.0139,20.0144,1346,999,31,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_fscanf_65a.c,1.2908,0.0014,0.0014,20.0150,20.0140,1385,909,44,2
CWE121_Stack_Based_Buffer_Overflow__CWE129_fscanf_65b.c,1.2515,0.0014,0.0014,20.0144,20.0144,1557,985,31,2
CWE121_Stack_Based_Buffer_Overflow__CWE129_fscanf_66a.c,1.2960,0.0014,0.0014,20.0134,20.0134,1333,875,33,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_fscanf_66b.c,1.2816,0.0015,0.0014,20.0139,20.0143,1388,955,33,2
CWE121_Stack_Based_Buffer_Overflow__CWE129_fscanf_67a.c,1.2839,0.0014,0.0014,20.0138,20.0140,1391,964,31,2
CWE121_Stack_Based_Buffer_Overflow__CWE129_fscanf_67b.c,1.2466,0.0017,0.0014,20.0140,20.0143,1435,983,31,2
CWE122_Heap_Based_Buffer_Overflow__c_CWE129_fgets_01.c,1.2647,0.0013,0.0014,20.0137,20.0131,1416,1011,31,2
CWE122_Heap_Based_Buffer_Overflow__c_CWE129_fgets_05.c,1.3301,0.0014,0.0013,20.0138,20.0141,1631,1107,37,1
CWE122_Heap_Based_Buffer_Overflow__c_CWE129_fgets_03.c,1.2810,0.0013,0.0013,20.0129,20.0132,1539,1058,35,1
CWE122_Heap_Based_Buffer_Overflow__c_CWE129_fgets_02.c,1.2989,0.0015,0.0013,20.0136,20.0173,1773,1040,33,2
CWE122_Heap_Based_Buffer_Overflow__c_CWE129_fgets_04.c,1.3236,0.0013,0.0015,20.0132,20.0140,1622,1169,42,3
CWE122_Heap_Based_Buffer_Overflow__c_CWE129_fgets_09.c,1.2971,0.0014,0.0014,20.0131,20.0138,1606,1093,33,2
CWE122_Heap_Based_Buffer_Overflow__c_CWE129_fgets_10.c,1.3207,0.0013,0.0014,20.0127,20.0141,1624,1146,32,2
CWE122_Heap_Based_Buffer_Overflow__c_CWE129_fgets_08.c,1.2800,0.0014,0.0013,20.0128,20.0133,1775,1081,35,2
CWE122_Heap_Based_Buffer_Overflow__c_CWE129_fgets_06.c,1.3049,0.0014,0.0014,20.0137,20.0143,1874,1112,36,1
CWE122_Heap_Based_Buffer_Overflow__c_CWE129_fgets_07.c,1.2928,0.0014,0.0014,20.0129,20.0140,1523,1172,32,3
CWE122_Heap_Based_Buffer_Overflow__c_CWE129_fgets_11.c,1.3148,0.0014,0.0016,20.0137,20.0132,1599,1168,31,2
CWE122_Heap_Based_Buffer_Overflow__c_CWE129_fgets_13.c,1.2760,0.0014,0.0013,20.0133,20.0140,1570,1147,32,1
CWE122_Heap_Based_Buffer_Overflow__c_CWE129_fgets_12.c,1.3221,0.0014,0.0015,20.0136,20.0134,1694,1117,32,2
CWE122_Heap_Based_Buffer_Overflow__c_CWE129_fgets_15.c,1.3534,0.0014,0.0013,20.0136,20.0141,1635,1057,34,2
CWE122_Heap_Based_Buffer_Overflow__c_CWE129_fgets_14.c,1.3231,0.0013,0.0013,20.0134,20.0139,1688,1121,31,2
CWE122_Heap_Based_Buffer_Overflow__c_CWE129_fgets_16.c,1.2994,0.0013,0.0013,20.0128,20.0147,1586,1113,34,2
CWE122_Heap_Based_Buffer_Overflow__c_CWE129_fgets_18.c,1.3077,0.0013,0.0014,20.0138,20.0138,1525,1119,36,2
CWE122_Heap_Based_Buffer_Overflow__c_CWE129_fgets_17.c,1.3039,0.0013,0.0015,20.0136,20.0134,1658,1050,30,2
CWE122_Heap_Based_Buffer_Overflow__c_CWE129_fgets_21.c,1.2603,0.0014,0.0015,20.0133,20.0140,1713,1102,44,1
CWE122_Heap_Based_Buffer_Overflow__c_CWE129_fgets_22a.c,1.3273,0.0014,0.0014,20.0131,20.0135,1860,1103,37,2
CWE122_Heap_Based_Buffer_Overflow__c_CWE129_fgets_22b.c,1.2733,0.0013,0.0016,20.0143,20.0137,1560,1081,30,2
CWE122_Heap_Based_Buffer_Overflow__c_CWE129_fgets_31.c,1.2927,0.0013,0.0014,20.0136,20.0132,1672,1077,32,1
CWE122_Heap_Based_Buffer_Overflow__c_CWE129_fgets_32.c,1.2792,0.0014,0.0014,20.0130,20.0134,1659,1080,32,2
CWE122_Heap_Based_Buffer_Overflow__c_CWE129_fgets_34.c,1.2997,0.0014,0.0014,20.0131,20.0138,1541,1157,30,2
CWE122_Heap_Based_Buffer_Overflow__c_CWE129_fgets_44.c,1.2855,0.0014,0.0013,20.0139,20.0142,1535,1060,31,2
CWE122_Heap_Based_Buffer_Overflow__c_CWE129_fgets_45.c,1.3156,0.0014,0.0013,20.0134,20.0139,1740,1113,32,1
CWE122_Heap_Based_Buffer_Overflow__c_CWE129_fgets_42.c,1.3251,0.0013,0.0013,20.0130,20.0142,1668,1083,31,2
CWE122_Heap_Based_Buffer_Overflow__c_CWE129_fgets_41.c,1.2723,0.0013,0.0014,20.0136,20.0134,1564,1109,31,2
CWE122_Heap_Based_Buffer_Overflow__c_CWE129_fgets_51a.c,1.3484,0.0013,0.0013,20.0136,20.0141,1438,1145,30,1
CWE122_Heap_Based_Buffer_Overflow__c_CWE129_fgets_51b.c,1.3189,0.0014,0.0014,20.0132,20.0144,1749,1155,39,1
CWE122_Heap_Based_Buffer_Overflow__c_CWE129_fgets_52a.c,1.3727,0.0014,0.0014,20.0139,20.0135,1540,1042,31,2
CWE122_Heap_Based_Buffer_Overflow__c_CWE129_fgets_52c.c,1.2643,0.0016,0.0014,20.0134,20.0133,1732,1163,33,2
CWE122_Heap_Based_Buffer_Overflow__c_CWE129_fgets_53a.c,1.3250,0.0013,0.0016,20.0140,20.0139,1498,1250,31,3
CWE122_Heap_Based_Buffer_Overflow__c_CWE129_fgets_53d.c,1.2857,0.0015,0.0014,20.0136,20.0138,1766,1141,34,1
CWE122_Heap_Based_Buffer_Overflow__c_CWE129_fgets_54a.c,1.3203,0.0015,0.0013,20.0131,20.0132,1727,1058,38,2
CWE122_Heap_Based_Buffer_Overflow__c_CWE129_fgets_54e.c,1.2942,0.0014,0.0014,20.0132,20.0133,1616,1224,31,2
CWE122_Heap_Based_Buffer_Overflow__c_CWE129_fgets_63a.c,1.3008,0.0014,0.0014,20.0138,20.0135,1380,1016,32,2
CWE122_Heap_Based_Buffer_Overflow__c_CWE129_fgets_63b.c,1.3193,0.0014,0.0014,20.0139,20.0144,1816,1230,33,2
