filename,instrumentation(s),rtc_bad(s),rtc_good(s),ft_bad(s),ft_good(s),afl_input_bad(ms),afl_input_good(ms),cat_bad(ms),cat_good(ms)
cwe,filename,instrumentation(s),rtc_bad(s),rtc_good(s),ft_bad(s),ft_good(s),afl_input_bad(ms),afl_input_good(ms),cat_bad(ms),cat_good(ms)
CWE369,CWE369_Divide_by_Zero__int_fgets_modulo_03.c,1.2291,0.0018,0.0014,20.0139,20.0145,1609,1394,29,2
CWE369,CWE369_Divide_by_Zero__int_fgets_modulo_02.c,1.2483,0.0013,0.0014,20.0142,20.0151,1532,1369,30,2
CWE369,CWE369_Divide_by_Zero__int_fgets_modulo_01.c,1.6823,0.0015,0.0017,20.0144,20.0151,1516,1353,33,2
CWE369,CWE369_Divide_by_Zero__int_fgets_modulo_04.c,1.2606,0.0013,0.0014,20.0134,20.0138,1623,1455,29,2
CWE369,CWE369_Divide_by_Zero__int_fgets_modulo_05.c,1.2490,0.0019,0.0014,20.0141,20.0139,1558,1434,28,2
CWE369,CWE369_Divide_by_Zero__int_fgets_modulo_06.c,1.1791,0.0014,0.0020,20.0109,20.0112,564,458,28,2
CWE369,CWE369_Divide_by_Zero__int_fgets_modulo_09.c,1.1893,0.0012,0.0012,20.0108,20.0112,537,441,29,1
CWE369,CWE369_Divide_by_Zero__int_fgets_modulo_18.c,1.1804,0.0011,0.0011,20.0110,20.0111,538,429,28,2
CWE369,CWE369_Divide_by_Zero__int_fgets_modulo_17.c,1.1904,0.0011,0.0011,20.0109,20.0111,538,458,29,2
CWE369,CWE369_Divide_by_Zero__int_fgets_modulo_16.c,1.1721,0.0012,0.0011,20.0112,20.0111,526,483,29,1
CWE369,CWE369_Divide_by_Zero__int_fgets_modulo_11.c,1.2156,0.0011,0.0012,20.0109,20.0112,532,456,28,2
CWE369,CWE369_Divide_by_Zero__int_fgets_modulo_07.c,1.1891,0.0012,0.0011,20.0109,20.0112,532,441,29,2
CWE369,CWE369_Divide_by_Zero__int_fgets_modulo_08.c,1.2165,0.0011,0.0011,20.0108,20.0111,533,441,29,2
CWE369,CWE369_Divide_by_Zero__int_fgets_modulo_14.c,1.2136,0.0012,0.0012,20.0108,20.0111,527,441,29,1
CWE369,CWE369_Divide_by_Zero__int_fgets_modulo_21.c,1.2054,0.0012,0.0012,20.0109,20.0112,523,436,29,1
CWE369,CWE369_Divide_by_Zero__int_fgets_modulo_10.c,1.2022,0.0012,0.0011,20.0108,20.0111,552,438,28,1
CWE369,CWE369_Divide_by_Zero__int_fgets_modulo_15.c,1.1534,0.0012,0.0012,20.0110,20.0110,536,455,29,1
CWE369,CWE369_Divide_by_Zero__int_fgets_modulo_13.c,1.2079,0.0012,0.0012,20.0108,20.0110,553,446,28,1
CWE369,CWE369_Divide_by_Zero__int_fgets_modulo_12.c,1.2853,0.0013,0.0015,20.0129,20.0142,1150,1191,29,2
CWE369,CWE369_Divide_by_Zero__int_fgets_modulo_22b.c,1.2523,0.0023,0.0015,20.0125,20.0132,1337,1209,29,1
CWE369,CWE369_Divide_by_Zero__int_fgets_modulo_22a.c,1.2661,0.0013,0.0014,20.0125,20.0128,1322,1297,28,2
CWE369,CWE369_Divide_by_Zero__int_fgets_modulo_45.c,1.2785,0.0012,0.0014,20.0126,20.0139,1419,1229,29,2
